keyge,group,category,description
gene:100033531,genomic,gene,gene:100033531
gene:100033542,genomic,gene,gene:100033542
gene:100033543,genomic,gene,gene:100033543
gene:100033545,genomic,gene,gene:100033545
gene:100033546,genomic,gene,gene:100033546
gene:100033561,genomic,gene,gene:100033561
gene:100033562,genomic,gene,gene:100033562
gene:100033567,genomic,gene,gene:100033567
gene:100033568,genomic,gene,gene:100033568
gene:100033575,genomic,gene,gene:100033575
gene:100033577,genomic,gene,gene:100033577
gene:100033578,genomic,gene,gene:100033578
gene:100033579,genomic,gene,gene:100033579
gene:100033581,genomic,gene,gene:100033581
gene:100033582,genomic,gene,gene:100033582
gene:100033583,genomic,gene,gene:100033583
gene:100033585,genomic,gene,gene:100033585
gene:100033597,genomic,gene,gene:100033597
gene:100033601,genomic,gene,gene:100033601
gene:100033602,genomic,gene,gene:100033602
gene:100033603,genomic,gene,gene:100033603
gene:100033611,genomic,gene,gene:100033611
gene:100033613,genomic,gene,gene:100033613
gene:100033614,genomic,gene,gene:100033614
gene:100033625,genomic,gene,gene:100033625
gene:100033639,genomic,gene,gene:100033639
gene:100033656,genomic,gene,gene:100033656
gene:100033661,genomic,gene,gene:100033661
gene:100033664,genomic,gene,gene:100033664
gene:100033666,genomic,gene,gene:100033666
gene:100033671,genomic,gene,gene:100033671
gene:100033673,genomic,gene,gene:100033673
gene:100033676,genomic,gene,gene:100033676
gene:100033677,genomic,gene,gene:100033677
gene:100033678,genomic,gene,gene:100033678
gene:100033684,genomic,gene,gene:100033684
gene:100033702,genomic,gene,gene:100033702
gene:100033707,genomic,gene,gene:100033707
gene:100033721,genomic,gene,gene:100033721
gene:100033723,genomic,gene,gene:100033723
gene:100033735,genomic,gene,gene:100033735
gene:100033736,genomic,gene,gene:100033736
gene:100033737,genomic,gene,gene:100033737
gene:100033738,genomic,gene,gene:100033738
gene:100033742,genomic,gene,gene:100033742
gene:100033743,genomic,gene,gene:100033743
gene:100033744,genomic,gene,gene:100033744
gene:100033746,genomic,gene,gene:100033746
gene:100033747,genomic,gene,gene:100033747
gene:100033748,genomic,gene,gene:100033748
gene:100033749,genomic,gene,gene:100033749
gene:100033751,genomic,gene,gene:100033751
gene:100033753,genomic,gene,gene:100033753
gene:100033755,genomic,gene,gene:100033755
gene:100033756,genomic,gene,gene:100033756
gene:100033775,genomic,gene,gene:100033775
gene:100033776,genomic,gene,gene:100033776
gene:100033784,genomic,gene,gene:100033784
gene:100033790,genomic,gene,gene:100033790
gene:100033791,genomic,gene,gene:100033791
gene:100033793,genomic,gene,gene:100033793
gene:100033794,genomic,gene,gene:100033794
gene:100033795,genomic,gene,gene:100033795
gene:100033796,genomic,gene,gene:100033796
gene:100033797,genomic,gene,gene:100033797
gene:100033798,genomic,gene,gene:100033798
gene:100033799,genomic,gene,gene:100033799
gene:100033800,genomic,gene,gene:100033800
gene:100033801,genomic,gene,gene:100033801
gene:100033802,genomic,gene,gene:100033802
gene:100033803,genomic,gene,gene:100033803
gene:100033804,genomic,gene,gene:100033804
gene:100033806,genomic,gene,gene:100033806
gene:100033808,genomic,gene,gene:100033808
gene:100033809,genomic,gene,gene:100033809
gene:100033810,genomic,gene,gene:100033810
gene:100033811,genomic,gene,gene:100033811
gene:100033812,genomic,gene,gene:100033812
gene:100033813,genomic,gene,gene:100033813
gene:100033814,genomic,gene,gene:100033814
gene:100033815,genomic,gene,gene:100033815
gene:100033816,genomic,gene,gene:100033816
gene:100033817,genomic,gene,gene:100033817
gene:100033818,genomic,gene,gene:100033818
gene:100033819,genomic,gene,gene:100033819
gene:100033820,genomic,gene,gene:100033820
gene:100033821,genomic,gene,gene:100033821
gene:100033822,genomic,gene,gene:100033822
gene:100034251,genomic,gene,gene:100034251
gene:100034361,genomic,gene,gene:100034361
gene:100034363,genomic,gene,gene:100034363
gene:100034366,genomic,gene,gene:100034366
gene:100034374,genomic,gene,gene:100034374
gene:100034376,genomic,gene,gene:100034376
gene:100034381,genomic,gene,gene:100034381
gene:100034395,genomic,gene,gene:100034395
gene:100034405,genomic,gene,gene:100034405
gene:100034406,genomic,gene,gene:100034406
gene:100034412,genomic,gene,gene:100034412
gene:100034426,genomic,gene,gene:100034426
gene:100034445,genomic,gene,gene:100034445
gene:100034458,genomic,gene,gene:100034458
gene:100034470,genomic,gene,gene:100034470
gene:100034471,genomic,gene,gene:100034471
gene:100034485,genomic,gene,gene:100034485
gene:100034489,genomic,gene,gene:100034489
gene:100034496,genomic,gene,gene:100034496
gene:100034500,genomic,gene,gene:100034500
gene:100034503,genomic,gene,gene:100034503
gene:100034506,genomic,gene,gene:100034506
gene:100034518,genomic,gene,gene:100034518
gene:100034519,genomic,gene,gene:100034519
gene:100034520,genomic,gene,gene:100034520
gene:100034538,genomic,gene,gene:100034538
gene:100034539,genomic,gene,gene:100034539
gene:100034540,genomic,gene,gene:100034540
gene:100034546,genomic,gene,gene:100034546
gene:100034580,genomic,gene,gene:100034580
gene:100034584,genomic,gene,gene:100034584
gene:100034599,genomic,gene,gene:100034599
gene:100034606,genomic,gene,gene:100034606
gene:100034631,genomic,gene,gene:100034631
gene:100034637,genomic,gene,gene:100034637
gene:100034684,genomic,gene,gene:100034684
gene:100034727,genomic,gene,gene:100034727
gene:100034728,genomic,gene,gene:100034728
gene:100034743,genomic,gene,gene:100034743
gene:100034753,genomic,gene,gene:100034753
gene:100034901,genomic,gene,gene:100034901
gene:100034914,genomic,gene,gene:100034914
gene:100035378,genomic,gene,gene:100035378
gene:100035402,genomic,gene,gene:100035402
gene:100035484,genomic,gene,gene:100035484
gene:100035488,genomic,gene,gene:100035488
gene:100036520,genomic,gene,gene:100036520
gene:100036563,genomic,gene,gene:100036563
gene:100036564,genomic,gene,gene:100036564
gene:100036565,genomic,gene,gene:100036565
gene:100036567,genomic,gene,gene:100036567
gene:100036579,genomic,gene,gene:100036579
gene:100036582,genomic,gene,gene:100036582
gene:100036586,genomic,gene,gene:100036586
gene:100036814,genomic,gene,gene:100036814
gene:100036931,genomic,gene,gene:100036931
gene:100036942,genomic,gene,gene:100036942
gene:100037038,genomic,gene,gene:100037038
gene:100037071,genomic,gene,gene:100037071
gene:100037129,genomic,gene,gene:100037129
gene:100037173,genomic,gene,gene:100037173
gene:100037183,genomic,gene,gene:100037183
gene:100037186,genomic,gene,gene:100037186
gene:100037205,genomic,gene,gene:100037205
gene:100037224,genomic,gene,gene:100037224
gene:100037229,genomic,gene,gene:100037229
gene:100037246,genomic,gene,gene:100037246
gene:100037280,genomic,gene,gene:100037280
gene:100037282,genomic,gene,gene:100037282
gene:100037283,genomic,gene,gene:100037283
gene:100037308,genomic,gene,gene:100037308
gene:100037315,genomic,gene,gene:100037315
gene:100037338,genomic,gene,gene:100037338
gene:100037360,genomic,gene,gene:100037360
gene:100037369,genomic,gene,gene:100037369
